assessment_result_id,enrollment_id,student_id,course_id,assessment_name,score,max_score,assessment_date,result_status,data_origin
ASM-001,ENR-001,STU-001,CRS-001,Knowledge Check 1,59,100,2025-09-22,Needs Support,synthetic_demo
ASM-002,ENR-001,STU-001,CRS-001,Knowledge Check 2,70,100,2025-10-13,Passed,synthetic_demo
ASM-003,ENR-002,STU-001,CRS-005,Knowledge Check 1,79,100,2025-10-04,Passed,synthetic_demo
ASM-004,ENR-002,STU-001,CRS-005,Knowledge Check 2,90,100,2025-10-25,Passed,synthetic_demo
ASM-005,ENR-003,STU-002,CRS-004,Knowledge Check 1,81,100,2025-09-27,Passed,synthetic_demo
ASM-006,ENR-003,STU-002,CRS-004,Knowledge Check 2,92,100,2025-10-18,Passed,synthetic_demo
ASM-007,ENR-004,STU-002,CRS-008,Knowledge Check 1,48,100,2025-10-09,Needs Support,synthetic_demo
ASM-008,ENR-004,STU-002,CRS-008,Knowledge Check 2,59,100,2025-10-30,Needs Support,synthetic_demo
ASM-009,ENR-005,STU-003,CRS-007,Knowledge Check 1,50,100,2025-10-02,Needs Support,synthetic_demo
ASM-010,ENR-005,STU-003,CRS-007,Knowledge Check 2,61,100,2025-10-23,Passed,synthetic_demo
ASM-011,ENR-006,STU-003,CRS-001,Knowledge Check 1,73,100,2025-10-14,Passed,synthetic_demo
ASM-012,ENR-006,STU-003,CRS-001,Knowledge Check 2,84,100,2025-11-04,Passed,synthetic_demo
ASM-013,ENR-007,STU-004,CRS-010,Knowledge Check 1,72,100,2025-10-07,Passed,synthetic_demo
ASM-014,ENR-007,STU-004,CRS-010,Knowledge Check 2,83,100,2025-10-28,Passed,synthetic_demo
ASM-015,ENR-008,STU-004,CRS-004,Knowledge Check 1,95,100,2025-10-19,Passed,synthetic_demo
ASM-016,ENR-008,STU-004,CRS-004,Knowledge Check 2,53,100,2025-11-09,Needs Support,synthetic_demo
ASM-017,ENR-009,STU-005,CRS-003,Knowledge Check 1,97,100,2025-10-12,Passed,synthetic_demo
ASM-018,ENR-009,STU-005,CRS-003,Knowledge Check 2,55,100,2025-11-02,Needs Support,synthetic_demo
ASM-019,ENR-010,STU-005,CRS-007,Knowledge Check 1,64,100,2025-10-24,Passed,synthetic_demo
ASM-020,ENR-010,STU-005,CRS-007,Knowledge Check 2,75,100,2025-11-14,Passed,synthetic_demo
ASM-021,ENR-011,STU-006,CRS-006,Knowledge Check 1,66,100,2025-10-17,Passed,synthetic_demo
ASM-022,ENR-011,STU-006,CRS-006,Knowledge Check 2,77,100,2025-11-07,Passed,synthetic_demo
ASM-023,ENR-012,STU-006,CRS-010,Knowledge Check 1,86,100,2025-10-29,Passed,synthetic_demo
ASM-024,ENR-012,STU-006,CRS-010,Knowledge Check 2,97,100,2025-11-19,Passed,synthetic_demo
ASM-025,ENR-013,STU-007,CRS-009,Knowledge Check 1,88,100,2025-10-22,Passed,synthetic_demo
ASM-026,ENR-013,STU-007,CRS-009,Knowledge Check 2,99,100,2025-11-12,Passed,synthetic_demo
ASM-027,ENR-014,STU-007,CRS-003,Knowledge Check 1,58,100,2025-11-03,Needs Support,synthetic_demo
ASM-028,ENR-014,STU-007,CRS-003,Knowledge Check 2,69,100,2025-11-24,Passed,synthetic_demo
ASM-029,ENR-015,STU-008,CRS-002,Knowledge Check 1,60,100,2025-10-27,Passed,synthetic_demo
ASM-030,ENR-015,STU-008,CRS-002,Knowledge Check 2,71,100,2025-11-17,Passed,synthetic_demo
ASM-031,ENR-016,STU-008,CRS-006,Knowledge Check 1,80,100,2025-11-08,Passed,synthetic_demo
ASM-032,ENR-016,STU-008,CRS-006,Knowledge Check 2,91,100,2025-11-29,Passed,synthetic_demo
ASM-033,ENR-017,STU-009,CRS-005,Knowledge Check 1,82,100,2025-11-01,Passed,synthetic_demo
ASM-034,ENR-017,STU-009,CRS-005,Knowledge Check 2,93,100,2025-11-22,Passed,synthetic_demo
ASM-035,ENR-018,STU-009,CRS-009,Knowledge Check 1,49,100,2025-11-13,Needs Support,synthetic_demo
ASM-036,ENR-018,STU-009,CRS-009,Knowledge Check 2,60,100,2025-12-04,Passed,synthetic_demo
ASM-037,ENR-019,STU-010,CRS-008,Knowledge Check 1,51,100,2025-11-06,Needs Support,synthetic_demo
ASM-038,ENR-019,STU-010,CRS-008,Knowledge Check 2,62,100,2025-11-27,Passed,synthetic_demo
ASM-039,ENR-020,STU-010,CRS-002,Knowledge Check 1,74,100,2025-11-18,Passed,synthetic_demo
ASM-040,ENR-020,STU-010,CRS-002,Knowledge Check 2,85,100,2025-12-09,Passed,synthetic_demo
ASM-041,ENR-021,STU-011,CRS-001,Knowledge Check 1,76,100,2025-11-11,Passed,synthetic_demo
ASM-042,ENR-021,STU-011,CRS-001,Knowledge Check 2,87,100,2025-12-02,Passed,synthetic_demo
ASM-043,ENR-022,STU-011,CRS-005,Knowledge Check 1,96,100,2025-11-23,Passed,synthetic_demo
ASM-044,ENR-022,STU-011,CRS-005,Knowledge Check 2,54,100,2025-12-14,Needs Support,synthetic_demo
ASM-045,ENR-023,STU-012,CRS-004,Knowledge Check 1,98,100,2025-11-16,Passed,synthetic_demo
ASM-046,ENR-023,STU-012,CRS-004,Knowledge Check 2,56,100,2025-12-07,Needs Support,synthetic_demo
ASM-047,ENR-024,STU-012,CRS-008,Knowledge Check 1,65,100,2025-11-28,Passed,synthetic_demo
ASM-048,ENR-024,STU-012,CRS-008,Knowledge Check 2,76,100,2025-12-19,Passed,synthetic_demo
ASM-049,ENR-025,STU-013,CRS-007,Knowledge Check 1,67,100,2025-11-21,Passed,synthetic_demo
ASM-050,ENR-025,STU-013,CRS-007,Knowledge Check 2,78,100,2025-12-12,Passed,synthetic_demo
ASM-051,ENR-026,STU-013,CRS-001,Knowledge Check 1,90,100,2025-12-03,Passed,synthetic_demo
ASM-052,ENR-026,STU-013,CRS-001,Knowledge Check 2,48,100,2025-12-24,Needs Support,synthetic_demo
ASM-053,ENR-027,STU-014,CRS-010,Knowledge Check 1,89,100,2025-11-26,Passed,synthetic_demo
ASM-054,ENR-027,STU-014,CRS-010,Knowledge Check 2,100,100,2025-12-17,Passed,synthetic_demo
ASM-055,ENR-028,STU-014,CRS-004,Knowledge Check 1,59,100,2025-12-08,Needs Support,synthetic_demo
ASM-056,ENR-028,STU-014,CRS-004,Knowledge Check 2,70,100,2025-12-29,Passed,synthetic_demo
ASM-057,ENR-029,STU-015,CRS-003,Knowledge Check 1,61,100,2025-12-01,Passed,synthetic_demo
ASM-058,ENR-029,STU-015,CRS-003,Knowledge Check 2,72,100,2025-12-22,Passed,synthetic_demo
ASM-059,ENR-030,STU-015,CRS-007,Knowledge Check 1,81,100,2025-12-13,Passed,synthetic_demo
ASM-060,ENR-030,STU-015,CRS-007,Knowledge Check 2,92,100,2026-01-03,Passed,synthetic_demo
ASM-061,ENR-031,STU-016,CRS-006,Knowledge Check 1,83,100,2025-12-06,Passed,synthetic_demo
ASM-062,ENR-031,STU-016,CRS-006,Knowledge Check 2,94,100,2025-12-27,Passed,synthetic_demo
ASM-063,ENR-032,STU-016,CRS-010,Knowledge Check 1,50,100,2025-12-18,Needs Support,synthetic_demo
ASM-064,ENR-032,STU-016,CRS-010,Knowledge Check 2,61,100,2026-01-08,Passed,synthetic_demo
ASM-065,ENR-033,STU-017,CRS-009,Knowledge Check 1,52,100,2025-12-11,Needs Support,synthetic_demo
ASM-066,ENR-033,STU-017,CRS-009,Knowledge Check 2,63,100,2026-01-01,Passed,synthetic_demo
ASM-067,ENR-034,STU-017,CRS-003,Knowledge Check 1,75,100,2025-12-23,Passed,synthetic_demo
ASM-068,ENR-034,STU-017,CRS-003,Knowledge Check 2,86,100,2026-01-13,Passed,synthetic_demo
ASM-069,ENR-035,STU-018,CRS-002,Knowledge Check 1,77,100,2025-12-16,Passed,synthetic_demo
ASM-070,ENR-035,STU-018,CRS-002,Knowledge Check 2,88,100,2026-01-06,Passed,synthetic_demo
ASM-071,ENR-036,STU-018,CRS-006,Knowledge Check 1,97,100,2025-12-28,Passed,synthetic_demo
ASM-072,ENR-036,STU-018,CRS-006,Knowledge Check 2,55,100,2026-01-18,Needs Support,synthetic_demo
ASM-073,ENR-037,STU-019,CRS-005,Knowledge Check 1,99,100,2025-12-21,Passed,synthetic_demo
ASM-074,ENR-037,STU-019,CRS-005,Knowledge Check 2,57,100,2026-01-11,Needs Support,synthetic_demo
ASM-075,ENR-038,STU-019,CRS-009,Knowledge Check 1,66,100,2026-01-02,Passed,synthetic_demo
ASM-076,ENR-038,STU-019,CRS-009,Knowledge Check 2,77,100,2026-01-23,Passed,synthetic_demo
ASM-077,ENR-039,STU-020,CRS-008,Knowledge Check 1,68,100,2025-12-26,Passed,synthetic_demo
ASM-078,ENR-039,STU-020,CRS-008,Knowledge Check 2,79,100,2026-01-16,Passed,synthetic_demo
ASM-079,ENR-040,STU-020,CRS-002,Knowledge Check 1,91,100,2026-01-07,Passed,synthetic_demo
ASM-080,ENR-040,STU-020,CRS-002,Knowledge Check 2,49,100,2026-01-28,Needs Support,synthetic_demo
ASM-081,ENR-041,STU-021,CRS-001,Knowledge Check 1,93,100,2025-12-31,Passed,synthetic_demo
ASM-082,ENR-041,STU-021,CRS-001,Knowledge Check 2,51,100,2026-01-21,Needs Support,synthetic_demo
ASM-083,ENR-042,STU-021,CRS-005,Knowledge Check 1,60,100,2026-01-12,Passed,synthetic_demo
ASM-084,ENR-042,STU-021,CRS-005,Knowledge Check 2,71,100,2026-02-02,Passed,synthetic_demo
ASM-085,ENR-043,STU-022,CRS-004,Knowledge Check 1,62,100,2026-01-05,Passed,synthetic_demo
ASM-086,ENR-043,STU-022,CRS-004,Knowledge Check 2,73,100,2026-01-26,Passed,synthetic_demo
ASM-087,ENR-044,STU-022,CRS-008,Knowledge Check 1,82,100,2026-01-17,Passed,synthetic_demo
ASM-088,ENR-044,STU-022,CRS-008,Knowledge Check 2,93,100,2026-02-07,Passed,synthetic_demo
ASM-089,ENR-045,STU-023,CRS-007,Knowledge Check 1,84,100,2026-01-10,Passed,synthetic_demo
ASM-090,ENR-045,STU-023,CRS-007,Knowledge Check 2,95,100,2026-01-31,Passed,synthetic_demo
ASM-091,ENR-046,STU-023,CRS-001,Knowledge Check 1,54,100,2026-01-22,Needs Support,synthetic_demo
ASM-092,ENR-046,STU-023,CRS-001,Knowledge Check 2,65,100,2026-02-12,Passed,synthetic_demo
