progress_id,enrollment_id,student_id,course_id,progress_percent,completion_status,last_activity_date,data_origin
PRG-001,ENR-001,STU-001,CRS-001,100,Completed,2025-12-28,synthetic_demo
PRG-002,ENR-002,STU-001,CRS-005,100,Completed,2026-01-09,synthetic_demo
PRG-003,ENR-003,STU-002,CRS-004,45,In Progress,2025-11-08,synthetic_demo
PRG-004,ENR-004,STU-002,CRS-008,74,In Progress,2025-12-19,synthetic_demo
PRG-005,ENR-005,STU-003,CRS-007,62,In Progress,2025-11-30,synthetic_demo
PRG-006,ENR-006,STU-003,CRS-001,91,In Progress,2026-01-10,synthetic_demo
PRG-007,ENR-007,STU-004,CRS-010,79,In Progress,2025-12-22,synthetic_demo
PRG-008,ENR-008,STU-004,CRS-004,36,In Progress,2025-11-21,synthetic_demo
PRG-009,ENR-009,STU-005,CRS-003,96,In Progress,2026-01-13,synthetic_demo
PRG-010,ENR-010,STU-005,CRS-007,53,In Progress,2025-12-13,synthetic_demo
PRG-011,ENR-011,STU-006,CRS-006,100,Completed,2026-01-22,synthetic_demo
PRG-012,ENR-012,STU-006,CRS-010,100,Completed,2026-02-03,synthetic_demo
PRG-013,ENR-013,STU-007,CRS-009,58,In Progress,2025-12-16,synthetic_demo
PRG-014,ENR-014,STU-007,CRS-003,87,In Progress,2026-01-26,synthetic_demo
PRG-015,ENR-015,STU-008,CRS-002,75,In Progress,2026-01-07,synthetic_demo
PRG-016,ENR-016,STU-008,CRS-006,32,In Progress,2025-12-07,synthetic_demo
PRG-017,ENR-017,STU-009,CRS-005,92,In Progress,2026-01-29,synthetic_demo
PRG-018,ENR-018,STU-009,CRS-009,49,In Progress,2025-12-29,synthetic_demo
PRG-019,ENR-019,STU-010,CRS-008,37,In Progress,2025-12-10,synthetic_demo
PRG-020,ENR-020,STU-010,CRS-002,66,In Progress,2026-01-20,synthetic_demo
PRG-021,ENR-021,STU-011,CRS-001,100,Completed,2026-02-16,synthetic_demo
PRG-022,ENR-022,STU-011,CRS-005,100,Completed,2026-02-28,synthetic_demo
PRG-023,ENR-023,STU-012,CRS-004,71,In Progress,2026-01-23,synthetic_demo
PRG-024,ENR-024,STU-012,CRS-008,28,In Progress,2025-12-23,synthetic_demo
PRG-025,ENR-025,STU-013,CRS-007,88,In Progress,2026-02-14,synthetic_demo
PRG-026,ENR-026,STU-013,CRS-001,45,In Progress,2026-01-14,synthetic_demo
PRG-027,ENR-027,STU-014,CRS-010,33,In Progress,2025-12-26,synthetic_demo
PRG-028,ENR-028,STU-014,CRS-004,62,In Progress,2026-02-05,synthetic_demo
PRG-029,ENR-029,STU-015,CRS-003,50,In Progress,2026-01-17,synthetic_demo
PRG-030,ENR-030,STU-015,CRS-007,79,In Progress,2026-02-27,synthetic_demo
