enrollment_id,student_id,course_id,enrollment_date,enrollment_status,completion_date,data_origin
ENR-001,STU-001,CRS-001,2025-09-01,Completed,2025-12-10,synthetic_demo
ENR-002,STU-001,CRS-005,2025-09-13,Completed,2025-12-22,synthetic_demo
ENR-003,STU-002,CRS-004,2025-09-06,In Progress,,synthetic_demo
ENR-004,STU-002,CRS-008,2025-09-18,In Progress,,synthetic_demo
ENR-005,STU-003,CRS-007,2025-09-11,In Progress,,synthetic_demo
ENR-006,STU-003,CRS-001,2025-09-23,In Progress,,synthetic_demo
ENR-007,STU-004,CRS-010,2025-09-16,In Progress,,synthetic_demo
ENR-008,STU-004,CRS-004,2025-09-28,In Progress,,synthetic_demo
ENR-009,STU-005,CRS-003,2025-09-21,In Progress,,synthetic_demo
ENR-010,STU-005,CRS-007,2025-10-03,In Progress,,synthetic_demo
ENR-011,STU-006,CRS-006,2025-09-26,Completed,2026-01-04,synthetic_demo
ENR-012,STU-006,CRS-010,2025-10-08,Completed,2026-01-16,synthetic_demo
ENR-013,STU-007,CRS-009,2025-10-01,In Progress,,synthetic_demo
ENR-014,STU-007,CRS-003,2025-10-13,In Progress,,synthetic_demo
ENR-015,STU-008,CRS-002,2025-10-06,In Progress,,synthetic_demo
ENR-016,STU-008,CRS-006,2025-10-18,In Progress,,synthetic_demo
ENR-017,STU-009,CRS-005,2025-10-11,In Progress,,synthetic_demo
ENR-018,STU-009,CRS-009,2025-10-23,In Progress,,synthetic_demo
ENR-019,STU-010,CRS-008,2025-10-16,In Progress,,synthetic_demo
ENR-020,STU-010,CRS-002,2025-10-28,In Progress,,synthetic_demo
ENR-021,STU-011,CRS-001,2025-10-21,Completed,2026-01-29,synthetic_demo
ENR-022,STU-011,CRS-005,2025-11-02,Completed,2026-02-10,synthetic_demo
ENR-023,STU-012,CRS-004,2025-10-26,In Progress,,synthetic_demo
ENR-024,STU-012,CRS-008,2025-11-07,In Progress,,synthetic_demo
ENR-025,STU-013,CRS-007,2025-10-31,In Progress,,synthetic_demo
ENR-026,STU-013,CRS-001,2025-11-12,In Progress,,synthetic_demo
ENR-027,STU-014,CRS-010,2025-11-05,In Progress,,synthetic_demo
ENR-028,STU-014,CRS-004,2025-11-17,In Progress,,synthetic_demo
ENR-029,STU-015,CRS-003,2025-11-10,In Progress,,synthetic_demo
ENR-030,STU-015,CRS-007,2025-11-22,In Progress,,synthetic_demo
ENR-031,STU-016,CRS-006,2025-11-15,Completed,2026-02-23,synthetic_demo
ENR-032,STU-016,CRS-010,2025-11-27,Completed,2026-03-07,synthetic_demo
ENR-033,STU-017,CRS-009,2025-11-20,In Progress,,synthetic_demo
ENR-034,STU-017,CRS-003,2025-12-02,In Progress,,synthetic_demo
ENR-035,STU-018,CRS-002,2025-11-25,In Progress,,synthetic_demo
ENR-036,STU-018,CRS-006,2025-12-07,In Progress,,synthetic_demo
ENR-037,STU-019,CRS-005,2025-11-30,In Progress,,synthetic_demo
ENR-038,STU-019,CRS-009,2025-12-12,In Progress,,synthetic_demo
ENR-039,STU-020,CRS-008,2025-12-05,In Progress,,synthetic_demo
ENR-040,STU-020,CRS-002,2025-12-17,In Progress,,synthetic_demo
ENR-041,STU-021,CRS-001,2025-12-10,Completed,2026-03-20,synthetic_demo
ENR-042,STU-021,CRS-005,2025-12-22,Completed,2026-04-01,synthetic_demo
ENR-043,STU-022,CRS-004,2025-12-15,In Progress,,synthetic_demo
ENR-044,STU-022,CRS-008,2025-12-27,In Progress,,synthetic_demo
ENR-045,STU-023,CRS-007,2025-12-20,In Progress,,synthetic_demo
ENR-046,STU-023,CRS-001,2026-01-01,In Progress,,synthetic_demo
ENR-047,STU-024,CRS-010,2025-12-25,In Progress,,synthetic_demo
ENR-048,STU-024,CRS-004,2026-01-06,In Progress,,synthetic_demo
ENR-049,STU-025,CRS-003,2025-12-30,In Progress,,synthetic_demo
